Palabra,Etiqueta_POS
COMENTARIOS,NOUN
"

",SPACE
Cabeza,PROPN
de,ADP
Vaca,PROPN
",",PUNCT
adelantado,ADJ
y,CCONJ
gobernador,NOUN
del,ADP
Río,PROPN
de,ADP
la,DET
Plata,PROPN
"

",SPACE
Escriptos,PROPN
por,ADP
Pero,CCONJ
Hernández,PROPN
",",PUNCT
escribano,NOUN
y,CCONJ
secretario,NOUN
de,ADP
la,DET
provincia,NOUN
",",PUNCT
y,CCONJ
dirigidos,ADJ
al,ADP
serenísimo,NOUN
",",PUNCT
muy,ADV
alto,ADJ
y,CCONJ
muy,ADV
poderoso,ADJ
señor,NOUN
el,DET
Infante,PROPN
Don,PROPN
Carlos,PROPN
N.,PROPN
S.,PROPN
"

",SPACE
INDICE,PROPN
:,PUNCT
"

",SPACE
CAPÍTULO,PROPN
I,CCONJ
"
",SPACE
De,ADP
los,DET
comentarios,NOUN
de,ADP
Alvar,PROPN
Núñez,PROPN
Cabeza,PROPN
de,ADP
Vaca,PROPN
"

",SPACE
CAPÍTULO,PROPN
II,PROPN
"
",SPACE
De,ADP
cómo,PRON
partimos,VERB
de,ADP
la,DET
isla,NOUN
de,ADP
Cabo,PROPN
Verde,PROPN
"

",SPACE
CAPÍTULO,PROPN
III,PROPN
"
",SPACE
Que,PRON
trata,VERB
de,ADP
cómo,PRON
el,DET
gobernador,NOUN
llegó,VERB
con,ADP
su,DET
armada,NOUN
a,ADP
la,DET
isla,NOUN
de,ADP
Santa,PROPN
Catalina,PROPN
",",PUNCT
que,PRON
es,AUX
en,ADP
el,DET
Brasil,PROPN
",",PUNCT
y,CCONJ
desembarcó,VERB
allí,ADV
con,ADP
su,DET
armada,NOUN
"

",SPACE
CAPÍTULO,PROPN
IV,PROPN
"
",SPACE
De,ADP
cómo,PRON
vinieron,VERB
nuevos,ADJ
cristianos,NOUN
a,ADP
la,DET
isla,NOUN
"

",SPACE
CAPÍTULO,PROPN
V,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
dio,VERB
priesa,NOUN
a,ADP
su,DET
camino,NOUN
"
",SPACE
CAPÍTULO,PROPN
VI,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
comenzaron,VERB
a,ADP
caminar,VERB
por,ADP
tierra,NOUN
adentro,ADJ
"

",SPACE
CAPÍTULO,PROPN
VII,PROPN
"
",SPACE
Que,PRON
trata,VERB
de,ADP
lo,PRON
que,PRON
pasó,VERB
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
por,ADP
el,DET
camino,NOUN
y,CCONJ
de,ADP
la,DET
manera,NOUN
de,ADP
la,DET
tierra,NOUN
"

",SPACE
CAPÍTULO,PROPN
VIII,PROPN
"
",SPACE
De,ADP
los,DET
trabajos,NOUN
que,PRON
rescibió,VERB
en,ADP
el,DET
camino,NOUN
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
",",PUNCT
y,CCONJ
la,DET
manera,NOUN
de,ADP
los,DET
pinos,NOUN
y,CCONJ
pifias,NOUN
de,ADP
aquellas,DET
tierras,NOUN
"

",SPACE
CAPÍTULO,NUM
IX,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
se,PRON
vieron,VERB
con,ADP
necesidad,NOUN
de,ADP
hambre,NOUN
",",PUNCT
y,CCONJ
la,PRON
remediaron,VERB
con,ADP
gusanos,NOUN
que,PRON
sacaban,VERB
de,ADP
unas,DET
cañas,NOUN
CAPÍTULO,PROPN
X,PROPN
"
",SPACE
Del,ADP
miedo,NOUN
que,PRON
los,DET
indios,NOUN
tienen,VERB
a,ADP
los,DET
caballos,NOUN
"

",SPACE
CAPÍTULO,PROPN
XI,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
caminó,VERB
con,ADP
canoas,NOUN
por,ADP
el,DET
río,NOUN
de,ADP
Iguazu,PROPN
",",PUNCT
y,CCONJ
por,ADP
salvar,VERB
un,DET
mal,ADJ
paso,NOUN
de,ADP
un,DET
"
",SPACE
salto,NOUN
que,PRON
el,DET
río,NOUN
hacía,VERB
",",PUNCT
llevó,VERB
por,ADP
tierra,NOUN
las,DET
canoas,NOUN
una,DET
legua,NOUN
a,ADP
fuerza,NOUN
de,ADP
brazos,NOUN
"

",SPACE
CAPÍTULO,NUM
XII,PROPN
"
",SPACE
Que,PRON
trata,VERB
de,ADP
las,DET
balsas,NOUN
que,PRON
se,PRON
hicieron,VERB
para,ADP
llevar,VERB
los,DET
dolientes,ADJ
"

",SPACE
CAPÍTULO,PROPN
XIII,NOUN
"
",SPACE
De,ADP
cómo,PRON
llegó,VERB
el,DET
gobernador,NOUN
a,ADP
la,DET
ciudad,NOUN
de,ADP
la,DET
Ascensión,PROPN
",",PUNCT
donde,PRON
estaban,VERB
los,DET
cristianos,NOUN
españoles,ADJ
que,PRON
iba,AUX
a,ADP
socorrer,VERB
"

",SPACE
CAPÍTULO,PROPN
XIV,PROPN
"
",SPACE
De,ADP
cómo,PRON
llegaron,VERB
a,ADP
la,DET
ciudad,NOUN
de,ADP
la,DET
Ascensión,PROPN
los,DET
españoles,NOUN
que,PRON
quedaron,VERB
malos,ADJ
en,ADP
el,DET
río,NOUN
del,ADP
Piquero,PROPN
"

",SPACE
CAPÍTULO,NUM
XV,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
envió,VERB
a,ADP
socorrer,VERB
la,DET
gente,NOUN
que,PRON
venía,VERB
en,ADP
su,DET
nao,NOUN
capitana,ADJ
a,ADP
Buenos,PROPN
Aires,PROPN
",",PUNCT
y,CCONJ
a,ADP
que,SCONJ
tornasen,VERB
a,ADP
poblar,VERB
"
",SPACE
CAPÍTULO,PROPN
XVI,PROPN
"
",SPACE
De,ADP
cómo,PRON
matan,VERB
a,ADP
sus,DET
enemigos,NOUN
que,PRON
captivan,PROPN
",",PUNCT
y,CCONJ
se,PRON
los,PRON
comen,VERB
"

",SPACE
CAPÍTULO,NUM
XVII,NOUN
"
",SPACE
De,ADP
la,DET
paz,NOUN
que,PRON
el,DET
gobernador,NOUN
asentó,VERB
con,ADP
los,DET
indios,NOUN
agaces,ADV
"

",SPACE
CAPÍTULO,NUM
XVIII,NOUN
"
",SPACE
De,ADP
las,DET
querellas,NOUN
que,PRON
dieron,VERB
al,ADP
gobernador,NOUN
los,DET
pobladores,NOUN
de,ADP
los,DET
oficiales,NOUN
de,ADP
su,DET
majestad,NOUN
"

",SPACE
CAPÍTULO,NUM
XIX,NOUN
"
",SPACE
Cómo,PRON
se,PRON
querellaron,VERB
al,ADP
gobernador,NOUN
de,ADP
los,DET
indios,NOUN
guaycurúes,ADJ
"
",SPACE
CAPÍTULO,PROPN
XX,NOUN
Cómo,PRON
el,DET
gobernador,NOUN
pidió,VERB
información,NOUN
de,ADP
la,DET
querella,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXI,PROPN
"
",SPACE
Cómo,PRON
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
pasaron,VERB
el,DET
.,PUNCT
río,NOUN
y,CCONJ
se,PRON
ahogaron,VERB
dos,NUM
cristianos,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXII,PROPN
"
",SPACE
Cómo,PRON
fueron,AUX
las,DET
espías,NOUN
por,ADP
mandado,ADJ
del,ADP
gobernador,NOUN
en,ADP
seguimiento,NOUN
de,ADP
los,DET
indios,NOUN
guaycurúes,ADJ
"

",SPACE
CAPÍTULO,PROPN
XXIII,PROPN
"
",SPACE
Cómo,PRON
",",PUNCT
yendo,VERB
siguiendo,VERB
los,DET
enemigos,NOUN
",",PUNCT
fue,AUX
avisado,VERB
el,DET
gobernador,NOUN
como,SCONJ
iban,VERB
delante,ADV
"

",SPACE
CAPÍTULO,NUM
XXIV,NOUN
"
",SPACE
De,ADP
un,DET
escándalo,NOUN
que,PRON
causó,VERB
un,DET
tigre,NOUN
entre,ADP
los,DET
españoles,NOUN
y,CCONJ
los,DET
indios,NOUN
"

",SPACE
CAPÍTULO,NUM
XXV,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
y,CCONJ
su,DET
gente,NOUN
alcanzaron,VERB
a,ADP
los,DET
enemigos,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXVI,NOUN
"
",SPACE
Cómo,PRON
el,DET
gobernador,NOUN
rompió,VERB
los,DET
enemigos,NOUN
"
",SPACE
CAPÍTULO,PROPN
XXVII,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
volvió,VERB
a,ADP
la,DET
ciudad,NOUN
de,ADP
la,DET
Ascensión,PROPN
con,ADP
toda,DET
su,DET
gente,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXVIII,NOUN
"
",SPACE
De,ADP
cómo,PRON
los,DET
indios,NOUN
agaces,ADV
rompieron,VERB
las,DET
paces,NOUN
"

",SPACE
CAPÍTULO,NOUN
XXIX,NUM
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
soltó,VERB
uno,PRON
de,ADP
los,DET
prisioneros,NOUN
