chapter,description,lat,lon,zoom,media_url,media_credit,marker_type,marker_color
Álvar Núñez Cabeza de Vaca,"""Nacido en Jeréz de la Frontera, reino de Castilla, entre 1488 y 95, hay distintas discusiones sobre la fecha exacta. Cabeza de Vaca recorrió el Nuevo Mundo en dos oportunidades, primero llegó a América del Norte en 1527 con la expedición de Pánfilo de Narváez, y en una segunda oportunidad como Adelantado a América del Sur, en 1540.""","36,6881","-6,1421",3,images/CabezaVaca-Muralla-Jerez00856.jpg,Wikipedia,Plain,violet
Relatos en Naufragios,"""Llegó a América del Norte en 1527 con la expedición de Panfilio, fue uno de los cuatro sobrevivientes. Durante ocho años de esa travesía, convivió con indígenas, convirtiéndose en comerciante, evangelizador y curandero de estos pueblos nativos, en los actuales territorios de Nuevo México y Arizona. Un esquema de la expedición puede encontrarse en el siguiente <a href='https://upload.wikimedia.org/wikipedia/commons/2/23/Expedition_Cabeza_de_Vaca_Karte.png' target='_blank'>mapa</a>.""","18,4625","-69,9321",10,images/mapa_la_florida.jpg, Biblio Inc.,Plain,blue-dark
Recorrido en América del Norte,"""En 1536 arribó a México, dónde se reencontró con la otra corriente colonizadora española. Posteriormente, regresó a España, allí escribió los relatos de sus experiencias, que fueron publicados en 'Naufragios', una primera edición se realizó en Zamora en 1542 pero no contaban con la autorización de nuestro protagonista.""","29,7208","-95,3965",13,images/Statue_Cabeza_de_Vaca_Houston_TX.jpg,Wikipedia,Plain,blue-dark
chapter,description,lat,lon,zoom,media_url,media_credit,Plain,blue-dark
Organización del Vierreinato del Río de la Plata,DIvisión territorial,-34.608,-58.371,13,https://upload.wikimedia.org/wikipedia/commons/6/6b/Fundacion-Buenos-Aires.jpg,Wikimedia Commons,Plain,blue-dark
Rebeliones andinas 1782 y 1785,Tupac Amaru - Tupac Katari - J. Apaza,-34.903,-56.191,13,images/Paraguay_-_O_Prov_de_Rio_de_la_Plata_1600.jpg,Wikimedia,Plain,green-light
Reglamento de milicias 1801,"acá van , y ",-252.637,-575.759,8,https://upload.wikimedia.org/wikipedia/commons/e/e3/Jose_de_antequera.jpg,Dominio público,Plain,green-light
Batalla de Trafalgar 1805,description,lat,lon,zoom,media_url,media_credit,Plain,orange-dark
Primera invasión inglesa 1806,La defensa popular de Buenos Aires y Montevideo frente a las invasiones británicas demuestra el rol clave de las milicias urbanas y gauchas.,-346.037,-583.816,13,https://upload.wikimedia.org/wikipedia/commons/2/24/Liniers_Britanicos.jpg,Museo Histórico Nacional,Plain,orange-dark
segunda invasión inglesa 1807,description,lat,lon,zoom,media_url,media_credit,Hidden,pink
Motín de Aranjuez,Abdicación de Carlos IV y Fernando VII. Constitución de Bayona. Formación de la Junta Central.,lat,lon,zoom,media_url,media_credit,Hidden,pink
Fracaso movimiento juntista en Bs As,"Rebeliones en Quito, Chuquisaca y La Paz. Disolución Junta de Montevideo. Convocatoria de la Junta Central para la elección de diputados americanos. Nueva invasión francesa",lat,lon,zoom,media_url,media_credit,Plain,orange-dark
Guerras por la independencia (1810–1820),"Se militarizan territorios rioplatenses: se forman ejércitos patriotas, y las campañas militares transforman la vida social, política y económica.",-33.122,-64.349,6,https://upload.wikimedia.org/wikipedia/commons/0/08/Army_North_Andes.jpg,Dominio público,Plain,orange-dark
Guerra entre Buenos Aires y la Confederación (1852–1853),"Tras la caída de Rosas, los conflictos militares continúan marcando el territorio, especialmente en torno a Buenos Aires y el Litoral.",-320.617,-592.187,9,https://upload.wikimedia.org/wikipedia/commons/3/34/Batalla_Caseros.jpg,Museo Mitre,Plain,orange-dark
